Band gap,j_twist_angle,j_num_atoms,j_max_strain,j_interlayer_distance,mono_name1,mono_name2,mat_name,l_a,l_b,l_c,l_alpha,l_beta,l_gamma
0.333,23.413,121,0.321,7.997,2InTe-1,1AsBrTe-1,1As19Br19In32Te51-1,17.306644316013283,17.306644276373735,26.874414570439402,90.0,90.0,119.99996911538143
0.851,12.519,120,0.843,7.072,1MoSe2-1,1MoTe2-1,2Te19Mo20Se21-1,15.191256296855395,15.192547377979519,24.97291714426892,90.0,90.0,119.99366280971456
0.738,12.52,120,0.85,7.083,1WSe2-1,1WTe2-1,2Te19W20Se21-1,15.185997322858121,15.186008017943434,25.015445705844986,90.0,90.0,119.99988570288039
0.019,12.52,120,0.836,6.899,1MoTe2-1,1HfSe2-1,1Hf19Mo21Se38Te42-1,16.23157238625063,16.231667454057362,24.791015127539627,90.0,90.0,119.99166265663104
0.0,12.519,120,0.906,6.902,1WTe2-1,1HfSe2-1,1Hf19W21Se38Te42-1,16.21938651234623,16.220109461613834,24.809674704894487,90.0,90.0,119.9982271918636
0.971,12.522,120,0.927,7.086,1MoTe2-1,1WSe2-1,1Mo19W21Te38Se42-1,15.178779222994025,15.178812078350127,24.996786128490125,90.0,90.0,119.99359482835943
0.524,12.52,120,0.769,7.071,1MoSe2-1,1WTe2-1,1W19Mo21Te38Se42-1,15.198398966546707,15.198870663178921,24.99157672162378,90.0,90.0,119.99890073260039
1.388,6.593,105,0.86,7.596,1WS2-1,2InSe-1,1W19In24Se24S38-1,13.884628346234566,13.884651918312427,26.506944923868843,90.0,90.0,119.99996002974085
1.131,9.52,109,0.952,5.995,1WS2-1,2HSi-1,1W19H26Si26S38-1,13.886510304576698,13.886533337763279,24.88056560336227,90.0,90.0,119.99986335140031
1.461,9.52,109,0.987,7.454,1MoS2-1,2InS-1,1Mo19In26S64-1,13.87765625437734,13.878140760018988,26.29586903593747,90.0,90.0,119.99518195802806
